corpus,postid,text,emo,info,c2c
fibromyalgia_exchange,14448_2,"Hugs to you Roz. Wish I had some good answers for you. Is there any chance of getting her into a care center?? I don<APO>t know what you can possibly do when they are over 80....Not much...so yes, make sure you are taking care of you. cece",3.9,2.2,C
fibromyalgia_exchange,16953_0,"Jim dear, You solved two problems with one act of kindness. If I were in Amy<APO>s shoes, I<APO>d be so appreciative, and it sounds like she is. And in your shoes, you like the ebook readers and have the opportunity to upgrade. Go for it! I do that with mp3 players with Isiah, and it works for both of us. Be Gentle on Yourself!!! ~~Aimee http://www.facebook.com/pages/Fibromyalgia-Support-Groups-by-Aimee http://www.lumigrate.com/ Fibromyalgia forum writer, Aimee",4.3,3.4,C
fibromyalgia_exchange,14555_0,"Brittany, If you click on ""my exchange profile"", it should show you the last several posts you have made, I<APO>m not sure if it will show them all or not, but several. If it<APO>s there, you can copy and paste a new discussion! Good luck!",3.0,4.4,C
fibromyalgia_exchange,10966_1,"Morning Audrey and FMily......happy Wednesday to everyone...MiMi in NC....where we are again doomed for more rain.....I did not sleep well again last night....and this morning was up too early... let my little ones go out to potty and heard the birds chirping....I guess they were ""talking"" to each other.....in the darkness no doubt....perhaps they were talking about the weather.....who knows? My grandson took a nap yesterday and then we went outside so he could play.....the little guy loves lawnmowers and my husband had his out working on it....every few minutes Alec would say lawnmower? and I would tell him yes, but Popi is working on it.....I think he thought he could ride on it.....he is so cute....we got him a little lawnmower for his birthday and he rides it every day if it is not raining.....he is learning how to steer it....but still runs into the fence.....he has learned to put it in reverse and back up....he climbed over the play tunnel many times yesterday and played on the slide.....he is all boy... Nothing pressing today.....I am still working on my yet another appeal for my workers comp again.... I told my husband that I would like to know just how much the company I worked for has paid out to attorneys fighting me on this since 2005.....interesting....and then it has been reported that I am drawing workers compensation checks all of this time.....the system must be so messed up.... I have brought this to the attention of everyone but have not heard one word from anyone concerning this issue.....I guess everything is so giantic that no one can keep up with anything now....so sad that the system is like this....I can understand why people get in the shape they get into....fighting for everything that they should be entitled to......not a good thing these days... Welcome to all the new people again......OMG...there are so many new names....people are appearing every day.....I wonder just how many people have signed up on this web-site....it would be really interesting to know....I am sure there are so many others who just read and never post anything.....this is a good place to learn a lot about FM and how to ""control"" the pain and live a better life.....so hang in here with us....it is a long process of trial and error.....not everything effects people<APO>s body the same way.....but there is something out there for everybody.....I truly believe this....one must just have to search to find it.... Good luck and take care. Here is hoping that everyone has a wonderful Wednesday....with no/low pain....... MiMi MiMi",4.1,2.2,C
fibromyalgia_exchange,10189_7,"Well, I don<APO>t think of myself so much as ""Brash""...more...realistic. At least that<APO>s the tone I<APO>m trying to take here...BTW: Does ""Sounding Like Jim"" mean a good thing or a bad thing (in any context)? Just curious on that. My message is that the entire thing is HIGHLY stressful - I was less stressed in combat situations - seriously! I<APO>d like to think that when I hand out advice (asked for or not) that it<APO>s always reasoned and good at it<APO>s core. I draw on many decades of experience in life to give my advice...I<APO>ve been everywhere from living out of a dumpster, to having servants, to walking everywhere to having limo service, and try to go through all that to see what would be the most helpful. Don<APO>t get me wrong...I<APO>m not upset about it or anything else, just fascinated by your observation..Yours is one of the few that I<APO>ve never heard before. Can you elaborate on it?? Seriously!! You<APO>ve got my full attention - gads now you<APO>ve got me paranoid that I sound like a wise-cracker, and I don<APO>t want to be....so...can you? Jim",1.6,2.7,C
fibromyalgia_exchange,10603_6,"you picking up a theme??? Name one problem with ice cream....ok...two problem...weight is already on me, so how much could it hurt, really... cece",1.2,1.6,C
fibromyalgia_exchange,11723_1,"Thanks Erin for your reply. I will try that. I also just re read your post about Tramadol. In another post I had written about the extreme nightmares caused by Tramadol. They were so bad I thought I would die even after I woke up. It kicked my heart rate up very high and put it out of rhythm. Dr said that was a side effect and not take it. After that, I don<APO>t want it for any reason. Jim",2.4,3.6,C
fibromyalgia_exchange,6517_4,"Oh sure....leave me with the ""F"" word :sealed: Ummmm....lessee....what can I use where I won<APO>t get banned from the board..... Ummm...Oh yeah, that Monster Movie from Israel....""FRANKENSCENCE""! (Relax Caprice ) :goofy:",1.7,1.4,C
fibromyalgia_exchange,15754_0,"Tanya If you don<APO>t get sleep...you are going to be a basket case...Calgon sounds like a good ideal for a start, then try some meditation...and if that doesn<APO>t work....go for the nutella You need to relax...I know the stress but now you have hives...... Come on get a grip and go have another cup of coffee...that way you don<APO>t fall asleep at 12 ali Follow your heart and not your dreams..the dreams are from your mind and can lead you astray, the heart never can..SMOLOL Hugs Ali",4.8,5.1,C
fibromyalgia_exchange,1362_6,Hello and welcome.....MiMi in NC....this will be really short....I can not help you with your poll....since I have not found any medicine to help me.....but after reading your post.....perhaps there is something else going on with you.....I would definitely talk to doctor about this....shoulder pain can come from the neck area.....or it might be something else...you did not say how you broke your foot but perhaps you injured something else.... This is the 2nd time I have posted....lost the 1st one so had to repost.....I hope you find something which helps you....you might also ask the doctor to check your Vitamin D level....so important as far as pain goes.....this is a simple blood test but is not one that the doctor normally runs.....this could be a factor in you having a lot of pain.... Good luck and take care....I hope you will keep us posted..... MiMi,4.3,5.0,C
fibromyalgia_exchange,12866_7,"Dear Rozzy, I don<APO>t know your full situation but I do want to offer you support and encouragement. I know you know that we are always here for you anytime you need to vent or cry, or just get things off your chest, please continue to post and know that you are loved.God bless you and your situation and hopefully things will start to work out for you soon. Take care. Gentle hugs, Sheila",6.1,1.4,C
fibromyalgia_exchange,18532_0,"Glad to ""see"" you, Mimi! I was getting worried.",5.4,1.7,C
fibromyalgia_exchange,11663_2,"Sharon~~~ Have yourself a great time!! Please take your time and rest, I wasn<APO>t too smart!! Oh well, I am resting now!!! Please enjoy yourself with hubby!! yaya",4.1,2.4,C
fibromyalgia_exchange,12775_0,Julie Good to see you posting That will be us one day .......... in our wheelchairs!!!!! Well maybe this time you can tell him that he has his wires crossed and he needs to have them uncrossed. LOL>,4.5,1.5,C
fibromyalgia_exchange,24216_2,"good idea about taking one and then waiting a couple of weeks, then also taking a list of what I was given to the health food store and talk to them about it. It was very nice of my friend, she sells these through a company, these were deals were she bought one and got another free, or even 2 free, so she<APO>s passed them on to me. Not sure if I<APO>d need some of these diegestive enzymes, circulation, primrose etc. also B supplements, etc. some I don<APO>t know what they<APO>re suppposed to do. Definitely going to do the research. thanks all!",2.6,2.0,C
fibromyalgia_exchange,19480_0,"Mornin Mimi, I am fairly OK...dampness and rain have just squashed my sense of humor and that is just killing me. The patio is moldy and THAT has to go TODAY...DH is home and it is on his list to bleach the cement (despite the continued rain). I am fearful of the party in the house and not outside! The swing set is not together so I think I am doing this with DH in the rain and BE DONE. It is just attaching the swings and building the glider which I can do sitting and then him on a ladder. (the frame is up) I am in awful pain in the morning, the weather is not helping but thanks to God....my meds lift me up out of it. I took meds an extra dose yesterday (like when in a flare) to get by. Yes, I know P A C E.......I do, right to burn out!! :) My fighting this with project and parties to keep me distracted is part of the ""dance with the dragon"" Sometimes you DANCE with him....sometimes you DRAG him. Most of the time you want to KILL him !!! :) :( You know me, just keep on going. The place is looking spiffy (remember that word?) It is nice to have order in your life. I still have tons I could say goodbye to, but I have done alot in the last few months. So proud of me. (even door jams are dusted and cleaned) Geeeez..... OK.....I need every fibromite to stand and face the NORTHEAST on Friday and blow the warm unshine weather here for next weekend! I NEED it to be right. Please help..... Today, I hope you can make a plan, a project and idea that will get your mind busy to displace the pain, help tone it down...I hope the sun is shining where you are (since i have the rain) and you are in a low pain state for today. One day at a time............Hugs to all (((( )))) from me, Nancy B",3.6,2.5,C
fibromyalgia_exchange,6940_13,"Good Morning All...for those traveling this week...I do hope you have a safe and easy travel...do be careful...and I will look forward to your return. I use to love to bake...but my kitchen is really only big enough for one...and now a days...seems like ron is in there...I thought about making cookies yesterday...and just couldn<APO>t get it together. Seems like I was missing something for every recipe...Really didn<APO>t do much all day. Feel like I need to get organized today.. Still have a couple of errands to do..My middle son drives down late tomorrow...His girlfriend has to work Tues. and then he will pick her up and come on down. And he has to go back Christmas day, cause she needs to work the day after Christmas... :sad: There really isn<APO>t much for him to do here anymore anyway...and there aren<APO>t any people here I want him hanging out with..So, I don<APO>t mind the short visit...but do with they could have stayed a day longer... Well, I slept late and need to get busy...hope this week is a good one for all. May God keep you all safe and warm this week. cece",4.7,2.5,C
fibromyalgia_exchange,5100_5,"Nancy, when I attended the official Mayo FM education classes they all said the same thing... support groups for FM are awful, everyone just complains about their symptoms and ""catastrophizes"" (meaning, everything is a catastrophy) and they make you think about your symptoms. Ummm, my symptoms are there if I think about it or not. I sorta understand their thinking, in that we use distraction as a tool to decrease our pain then come here and talk about it (according to them, not me). But I beleive we share a whole lot more than ""I feel terrible, life is terrible and everything is wrong"". We share a journey of learning, accepting and living our lives the best we can with FM. We give support to each other in a way that no one else can truly understand until they walk in our shoes. I obviously ignored their advise. I was already a member here at the time and I<APO>m still here. There have been times when I feel like the tone of the board is quite negative, but I think that is only my perception and not the truth. When I get to feeling that way, it<APO>s time for me to take a break for a bit. A few days away is about all I can stand but it gives me time to reflect and refocus. I hope DH was just having a crummy day and that you<APO>ll be able to talk about it calmly when you are ready to again.",4.7,2.8,C
fibromyalgia_exchange,7651_0,"Yes, get well soon Pat! :smile:",5.3,1.4,C
fibromyalgia_exchange,19812_10,"I love fireworks too, Angelswife, but your bottle rocket story... yikes! LOL! Hope your weekend was a great one. :-) We must let go of the life we have planned, so as to accept the one that is waiting for us. ~Joseph Campbell",4.7,2.7,C
fibromyalgia_exchange,11237_7,Awwww.....big cyber hugs coming thru!,4.9,1.4,C
fibromyalgia_exchange,17272_8,"Have you talked to your doctor about this? If not and you plan to, please have them check you for a yeast infection(s). Those of us with Fibro tend to have yeast issues, moe often then those who don<APO>t suffer from it.. inside and out. I say this as a timely example because I just had to go on a cream for a yeast infection on my skin where my bra rubs under my arm. Hope that is of some help. Linda R.",2.8,4.4,C
fibromyalgia_exchange,6012_0,"oh can I relate to that... I took 4 hot showers yesterday and got weaker and weaker... was watching my grandson, Ethan, last night and he decided to jusmp on me and play with my sore hands and bent them back... oooooh... not a good thing... and I scared him when I screamed in pain... so then I had to pick him up and hold him... I felt so bad... I gave up early and took my meds and actually got 7 hours of sleep... but I was still up at 5 am and was still exhausted and tired of the pain... I am glad you feel much better today... bless you thru out today that things only improve... don<APO>t over do it and get some rest... bless you",5.0,2.6,C
fibromyalgia_exchange,5159_7,You can always come see me in Florida! lol. I agree an extra brain would be nice or at least something that can do what we say.....ooooohhh remember the robot maid from the jetsons. I need one of those!,4.2,1.7,C
fibromyalgia_exchange,10392_20,Uh-huh....here...let me twist that blade out of your back for you.... (Poor Me... :sad: ) Jim,2.3,1.0,C
fibromyalgia_exchange,2151_0,I<APO>m ready to go back to bed and I read this Meme...thinking what did she eat this morning!? Ha! :sillygrin: :pbpt: LOL You<APO>re way to chipper for me this time of day! :cool: Oh boy. I did get on the stepper the last 2 days. And did some weeding yesterday....who knows what today will bring. I must say to myself......Up at at <APO>em! :grin:,2.9,2.3,C
fibromyalgia_exchange,3331_4,"I think the same thing each summer... I should have a yardsale. But then I realize how much work that would be and just take things to Goodwill or the like. We have red metal containers around town where you can take clothes, shoes and linens. And the Epilepsy foundation does pick ups 3-4 times a year. Just put stuff out at the curb with their sign on it and they<APO>ll take it. Best Buy will recycle electronics, free for many items, $10 for anything with a screen.. but then they give you a $10 gift card in it<APO>s place. I<APO>d like to rent a big dumpster and just toss everything in. LOL :goofy:",1.1,4.3,C
fibromyalgia_exchange,1858_0,"You are amazing...building a rail in a day!!! Wow, very impressive. Me?- I am trying to finish reading the newspaper without falling asleep. cece",5.2,1.6,C
fibromyalgia_exchange,1483_1,Dearest Julie~ You are in my thoughts too so much!! I pray you are doing ok.. I know this is such a hard time for you right now.. So I am really hoping and praying you are doing ok.. I am here for you just remember that.. I will be keeping your whole family in my thoughts and daily prayers.. Please take good extra care of YOU!!!!! Sending you all my love and many soft teddy bear hugs to you... Miss you and will be waiting until you are better to come back.. We will always be here for you.... Love ya lots Julie!!!! Tara,6.3,1.3,C
fibromyalgia_exchange,12658_4,okay then my next suggestion is gatorade. I am not sure why it helps but it does. Dehydration or electrolyte loss or both. Shrug. Don<APO>t know. But it does seem to make that ache less.,1.4,4.0,C
fibromyalgia_exchange,9748_850,Knock...Knock... Who<APO>s There? CARGO... CARGO WHO?? Cargo Beep-Beep...run over all the Either Bunnies! Gonna go play dead now...that was my effort for Easter...plus the drugs. Jim,2.1,1.4,C
fibromyalgia_exchange,1799_16,"Good Morning, I am so glad there is someone who keeps track of the new ones. So I ditto the welcome to all of you. I have a wedding to go to tonight... it is at 7:00 so I am not sure if I will make the reception..... actually not sure if I will make the wedding but I am going to try. Neck is almost impossible...while sleeping if my neck is not perfectly straight it wakes me up in pain. I guess I will have to call Chiro and see if he wants to order more tests or if I should go to Dr. It is just a hassle. We are still in above normal weather for this time of year. Not as much sun yesterday but it was still shirt sleeve day :cool: Have a wonderful Friday and relaxing weekend. laura :lightsmile:",3.8,1.9,C
fibromyalgia_exchange,875_17,~Good morning FMily ~ I hope that you all have a wonderful day !! ~Tessie,4.4,1.0,C
fibromyalgia_exchange,17585_3,"Hello, All....It<APO>s about 90 degrees in Alabama! I<APO>m ready for this front to come on through and cool things off. This just isn<APO>t right! I<APO>ve been staying pretty close to home today....got some stomach issues since Sun. I<APO>ll spare you and not go into detail! Since the shingles have pretty much gone, my pain has been fairly low, which I<APO>m thankful for. I hope everyone has a low pain day. God bless.....Elizabeth",3.1,2.0,C
fibromyalgia_exchange,13929_0,"I think this is very normal...and you have to remember that a marriage is often a two way street...and when two people are young they are often ""stupid""...so who knows who did what to whom... I would tell your brother that you will do everything to support him..no matter what...if he says stay out of something you will do so..but tell both of them that the kids are the most important part...You must remain in the best relationship with the kids.... That is my sage advice. cece",3.7,3.6,F
fibromyalgia_exchange,826_3,"Nope, you<APO>re not alone. I get them in the strangest places sometimes. I have no idea how they got there. And yes, they seem to take forever to go away.",4.0,2.7,F
fibromyalgia_exchange,611_16,"You can play around with the dosing a bit. I take one dose in the morning, then only take as needed the rest of the day. Taking it in scheduled doses does keep pain levels on a more even keel, without having the highs and lows. I<APO>m glad that you got some sleep! That is the most important piece in all of this. :smile:",3.0,3.6,F
fibromyalgia_exchange,9449_26,"oh oh...sweet potatoes fries and steak and wine...with the whine...I see the late starters are keeping the party going...way to go Kingdom, when somebody falls asleep, somebody wakes up and parties.. You guys are all the best... Cece",3.4,1.4,F
fibromyalgia_exchange,24153_3,"Hello Cory.....I wondered if you were ok since you had not posted in a few days. I am glad that you are feeling better. Right wrist with pea size lump....could it be a cyst? I say that because I ended up with one on my left wrist....and it had to be removed....the surgeon ended up and had to graft some bone to fill the space which was left....I had carpal tunnel surgery and he fixed the cyst too....it ended up being a lot more complex than he had expected it to be. I ended up being in a full cast for over 9 weeks....and I had pins holding my wrist together....it was NOT a fun time. I do agree....we, FMers, always deal with one thing or yet something else. It seems like it is a vicious cycle. Talking about ear infections....the doctor told my GD that she could go swimming even though she had the ear infection and was on medicine. The doctor said though that she did not need to get overly tired....REALLY? Now I raised 3 children and I do not remember being told that it was ok for them to swim when they were sick. I guess times have really changed....in more ways than one. Cory, I do hope you can try to pace at work....as I wonder just sometimes how you do all that you do. Dealing with FM is quite stressful just by itself....so I have no idea just how you continue to work and then come home and continue to do other things as well. I hope things get better for you. But you should also remember that it is left up to you to take care of yourself. Take care and I hope the weather will soon be nice. MiMi IN GOD WE TRUST....MAY GOD BLESS AND GUIDE AMERICA....",5.4,4.1,F
fibromyalgia_exchange,7295_1,That sounds SOOOOOO good....... I<APO>m planning to book a pedicure real soon. Last time I tried to cut my toenails I nearly chopped my toe off. It was bleeding and I couldn<APO>t even feel it. Weird. Ahhhhh......thoughts of spa day......as I drown out the noise of the kids....,1.7,1.7,F
fibromyalgia_exchange,16732_5,"Hi Melissa, That<APO>s the problem: What it says in terms of how many characters are allowed is not the actual number allowed (it<APO>s about 200 below that) so you<APO>d have to backspace even more. It does work (have had to do it plenty of times). And it<APO>s on the list of things to fix; I just don<APO>t know when it will be fixed because there are other, bigger things which need addressing first. I hope you<APO>re positivity close for the rest of the week. (((hugs))) :-) Treat people as if they were what they ought to be, and you<APO>ll help them to become what they are capable of becoming. ~Goethe",3.4,4.1,F
fibromyalgia_exchange,3948_21,"Dear SHelly, Please forgive if this has been suggested...I do not want to repeat something that has already been suggested to you, but you have had several responses ( :lightsmile: :lightsmile: ), and it is difficult to remember the content of all. Is there an option for you to move closer to your family?? I believe that you are no longer working, perhaps you are free to relocate?? Hope you quickly find a resolution to your anxiety attacks. Audrey",4.7,3.4,F
fibromyalgia_exchange,21152_7,"Your mornings sound difficult! I can relate, but I<APO>m not as severe as you. I often awake in the morning with a headache and nausea. Then I really don<APO>t want to get up. One thing I<APO>ve tried this Fall is helping me with morning stiffness...it<APO>s a heated mattress pad. It has adjustable temperatures, so you could sleep with it on low, and then turn it up while waking up and stretching. I<APO>ve noticed I toss and turn with pain less often since using it. When I do turn, the painful spots can sink into the heat and get soothed, therefore I fall back asleep quicker too. They are for sale everywhere, this time of year. DH found ours for less at Costco. (I put the regular mattress pad on top of it for added softness and to keep it cleaner longer.) I hope you can try one soon! I think your back will thank you too. I just can<APO>t say enough good things about it! I hope you have a good morning tomorrow. Hugs to you. With Compassion, Margaret",4.6,3.5,F
fibromyalgia_exchange,9761_13,"Dear SHeryl Anne, I heard y<APO>all are getting snow this weekend?? Audrey",2.1,1.3,F
fibromyalgia_exchange,23714_1,"I agree and it is so funny...My Mom used to say this all the time. I can<APO>t take so many meds or do what other people can. I (though she has been gone a long time now) believe she shared this condition I have and was quiet about alot of it. Her fog was cobwebs in her head....she slept on the couch (memory foam cushions) had bursitis and rheumatism all the time and used Dristan to aid her in pains....and a little blue pill to clear the cobwebs. That being said when they put me on Savella and I cannot tolerate much and what does it end up to be (A LITTLE BLUE PILL)..........Life is a circle and you have to have a sense of humor to survive....so good for you. Good post!! Anyone who gets to know this condition as it is different eachday would think we are wacky, but we are JUST FINE keeping to ourselves! Good luck on your path..... Nancy B .",4.3,2.1,F
fibromyalgia_exchange,19237_6,"Hi Joan, There are different ways to copy your posts but here is one: Hold your cursor over the top left area of the text you want to copy. Click the left mouse button and hold it down as you drag it down to the lower right of the page or paragraph you want to copy. All the next should now be highlighted/selected. Now hit Ctrl and c at the same time. You<APO>ve now copied it. Wherever you want to paste it, click your mouse cursor in there and hit Ctrl and v at the same time. Voila! But if you want to find your own posts, all you need to do is click on your name here to get to your profile page and if the discussions aren<APO>t there, choose <APO>latest<APO> and they should get listed. You can also always go to <APO>My Community Profile<APO> on the left sidebar (available once you<APO>re signed in). Hope this helps. :-) We must let go of the life we have planned, so as to accept the one that is waiting for us. ~Joseph Campbell",2.5,6.1,F
fibromyalgia_exchange,21310_1,"you really should tell your PCP about this, animal bites are nothing to play around with. I got what I thought was a small bite, no biggie. I was trying to break up a dog fight while I was walking a dog. I did go to the emergency walk in clinic, they cleaned it etc. the next morning I went back to the clinic, as the bandage had come off and it was a hard one to rebandage. they did some more tests, and told me to get to the hospital immediately, they were going to call ahead and tell them. I had to stay in the hospital for 3 days had some nerve damage that I had to to a specialis so I could get surgery for, along with therapy. This really wasn<APO>t that big deal of a bite. I<APO>ve cut myself washing dishes worse than that. so, yep, go and have it checked out.",1.6,3.7,F
fibromyalgia_exchange,3174_4,"There is no way to know if this is a problem or not, you need to go see the doctor and let him examine you. If you just leave phone messages, you may or may not hear from him. I feel if anything is important enough to me to make me call my doctor, I make an appt. and see her face to face. I have disc disease in my neck, and my arms/hands go numb from that pretty regularly, but I know what to do and how to make it better. Take care, Annette",2.4,3.7,F
