index,condensed codes,extract
178,pharmaceutical therapy,"You only mentioned one long acting opiate, fentanyl patches. There are also a number of long acting opiates in oral form. There are also a number of other anti-nausea meds besides phenergan that you could try if nausea becomes a problem. Usually, nausea will go away with time on opiates. There are also other meds that can be used for pain management in the antidepressant family. They mediate the neurotransmitters that control the perception of pain in the brain. By waiting until your pain is out of control to take your pain meds, you doom them to not working as well as they could. They should be taken early on in the pain escalation process. Medical studies done back in the 60s showed that people who took their opiates early on took less opiates than the people who waited until their pain was severe and then took their meds. They also got better relief. Most people with chronic pain who use opiates take a long acting opiate on a set schedule to maintain their blood levels so they don<APO>t have big up and down swings of pain relief. It is thought that this also slows the buildup of tolerance. Usually they also take a short acting opiate like Norco or Percocet for any breakthrough pain they have due to increased activity (or for no reason at all). They may take this 1-4 times a day depending on their doctor<APO>s instructions. Some people also take an anti-inflammatory for added relief depending on their condition and their previous medical history. You list RA, OA, and FMS, so it would be important that you control all your sources of pain. Your pcp<APO>s concern that if you get cancer you would have no pain meds available just isn<APO>t true. You can always take more pain meds if you need them, as long as you can tolerate any side effects, and are well supervised. There is no upper limit that one cannot go beyond with opiates while supervised by their doctor. Besides, you may never get cancer, you have pain NOW. "
1364,pharmaceutical therapy,"What about a lower dose of opiates, so you are not loopy, but have some decrease in pain levels. You didn<APO>t mention morphine, levorphanol, or methadone. "
1364,pharmaceutical adverse effects,"Many side effects like the nausea and loopiness go away after you stay on the med for awhile. Nothing will make the pain go away completely. The trick is to find different things that each help a little bit. I also use Lidoderm patches over bad places with my FMS, it works really well, when I need them. They are pricey though if you don<APO>t have insurance to cover them, you can try the company that makes them, see if they have a patient assistance program. Lyrical did nothing for me, but neurontin works really well for pain as well as many of the FMS symptoms."
1364,exploring non pharmaceutical techniques for pain," I adore my hot tub. Cognitive behavioural therapy is great too. You just have to keep trying different treatments, and don<APO>t forget exercise (start slowly and go up even slower), and you will at least learn to manage chronic pain. Take care, Annette"
1371,communication and learning about pain,"My reference book says that myofascial pin syndrome is usually in a particular area, not all over the body like fibromyalgia is. Pseudo sciatica pain just means it feels like it is sciatic pain, but the pain doesn<APO>t come from the sciatic nerve. It means the cause is unknown."
1371,exploring non pharmaceutical techniques for pain,"Stretching often helps sciatic pain, so maybe it will help this in the long run. Try taking a hot bath or shower before and after you do the exercises. It will warm up the muscles by increasing the blood flow to the area, that is good to do before you begin. Then afterwards, it will relax the muscles, that should help with pain. FMS depends on the tender point examination to diagnose, this is completely different from trigger points. A tender point hurts right where the doctor pushes with his finger. A trigger point causes pain distal to the spot where the doctor pushes. For instance if he pushes at a spot on your shoulder, it might hurt lower down on the arm, rather than right on the shoulder, or if he pushed on a spot on your hip, it might hurt farther down on your thigh. "
1371,pharmaceutical therapy,"What kind of muscle relaxant did he give you? The benzos are pretty well known for giving one nightmares. Let him know and see if he can try a different one. I went through several before I found the best one for me. Take care, Annette"
129,pharmaceutical therapy,"Don<APO>t go to a surgeon expecting pain management, they are not trained in treating chronic pain. See a pain management specialist or your own pcp. My pcp manages my chronic pain."
129,surgical,"All you need a surgeon for is to tell you if any surgical procedure will help you. Always get a second opinion from another surgeon before committing to a surgery. I would get the MRI done, then seek other opinions as you wish. Take care, Annette"
126,policy and pharmaceuticals,"I doubt there is any actiq available at a reasonable cost anywhere, the drug company is in it to make lots of $$$. Insurance companies are also in it to make $$$, thus the conflict. Just ask your doctor to prescribe something your insurance company does cover. "
126,pharmaceutical therapy,"Fentanyl is the only drug that is available that is absorbed into the mucosal membrane of the mouth. You will probably have to settle for a pill that you swallow and is absorbed in the gut. It will take a bit longer to work, but there are many drugs available for BT pain. You have the some of the same pain conditions that I do, you should be able to find something that works for you. Take care, Annette"
115,communication and learning about pain,"I believe that this is a drug that needs to be carefully prescribed by a doctor with experience. I worked in a heroin treatment facility in the 1970s that used methadone as one treatment method for heroin addiction. We didn<APO>t have any deaths in our client base in the years that I worked there. I am aware that in higher doses it can cause electrical irregularities in the heart that can cause death. It should NEVER be mixed with alcohol or benzos in my opinion. Those mix badly and can cause severe respiratory depression and death. But, this is something I learned nearly 40 years ago. I find people on these boards and others who routinely mix methadone and benzos with their doctor<APO>s blessing. I feel the doctors are to blame, not the drug itself. This is why I believe that it should be prescribed by doctors experienced in its use. Doctor<APO>s education is important here. I am a nurse, and a recent pain management class that I attended said one should not prescribe any opiates and benzos at the same time due to the risks involved in the interaction of these drugs. I think this is particularly important with methadone. One must start the methadone dose very low and increase it very slowly. Once you get to a dose that works, one can often decrease the dose somewhat and still get good pain relief. This is due to the extremely long half-life of the drug. Patients must absolutely stick to the dose the doctor gives them. NO EXTRA PILLS, ever. Methadone works differently than oxycodone or morphine, you can<APO>t double up on them when you feel like you need a bit of extra pain relief, or back down one day because you feel better, then increase them again the next day. You can die that way. I think this is a very useful drug in the right hands, prescribed by the right doctors."
108,communication and learning about pain,"Only your doctor can make a medical diagnosis. I have FMS, 99% of my pain is centered around my hips and legs, with some pain in the upper body around the spine for the most part. I occasionally have pain in my upper arms. FMS pain can be anywhere on the body. A tender point test is quick and easy to do during an office visit, it only takes a few minutes. The FMS diagnosis is based on at least three months of pain above and below the waist, and on both sides of the mid-line of the body, a positive tender point test, and a lack of any other illness that would explain the symptoms. Most doctors do a variety of blood tests to rule out any other cause of the pain and fatigue. Everyone with FMS has a different experience, everyone with it has pain, fatigue is the second complaint. Many people have other problems along with it, some don<APO>t. "
108,exploring non pharmaceutical techniques for pain," I recommend www.myalgia.com for good medical info about FMS. Whatever the cause of your pain, you can still be treating it. There are other meds to try, and non-drug treatments also. There are other anti-seizure meds, and antidepressant meds that are useful for chronic pain."
106,communication and learning about pain,"Dystonia is a symptom, not a diagnosis. It is an impairment of muscle tone, and is often a side effect of meds according to my medical text. You are only taking one or two percocets a day, that is not a lot. What other meds/treatments have you tried? "
106,primary care provider interactions,"Why do you think your doctor is wrong about the FMS diagnosis, and you are correct about the dystonia one?"
102,policy and pharmaceuticals,"Any time you get a headache that is different than usual, you need to see a doctor and be evaluated. "
102,primary care provider interactions,"There are free/low cost clinics in many communities, you can ""Google"", free clinics in<UD><UD><UD><UD><UD><UD><UD>(your area) and often find one that way. You can also call Goodwill, Salvation Army, or Catholic Charities and ask them. Also your county health department might be able to help you"
100,pharmaceutical therapy,"I totally agree with Gail. The research I have read in nursing journals says that up to 5% of people who take opiates as directed for pain will become addicted to the meds. It is a psychological condition, but it is also based on neurological changes that happen in the brain when one takes these kinds of drugs. "
100,pharmaceutical adverse effects,"There may also be a genetic predisposition in some people. Folks with their own medical history of drug abuse or a family history of drug abuse are often more likely to develop addiction themselves. That said, even folk with NO history of addiction can become addicts. Can recovering addicts be treated for pain with opiates successfully? Yes, with careful monitoring by both a pain management professional and an addictions specialist, some can use opiates successfully. I worked with opiate addicted people for my first job in nursing back in the 1970s. I am so glad I did. I NEVER take a pain pill without asking myself first if I really need it for physical pain, or am I taking it for a bit of an escape from life. I only take them for pain. Very few people with addictions are treated successfully, it is a horrible disease with far-reaching ramifications that reach through the friends and family of the addict in addition to the direct affect on the addict. Even if only 1% of opiate users became addicted, it would still be something we should all be aware of due to the seriousness of addiction. I never push the use of opiates on anyone, if they feel they are using their pain meds inappropriately, I believe them. The best person one can speak to regarding pain management vs. addiction is a trusted health care professional who is familiar with that person and their medical history. Thank you Gail, for bringing this topic to our attention and starting a discussion about it."
99,pharmaceutical therapy,"I am an RN also, although I am disabled and not currently working. Everyone has their own opinion about using opiates for chronic pain. I feel it is fine and as long as I function better with them than without them, I will continue to use them. I don<APO>t find it necessary to tell everyone in my life about what kinds of meds I take. No one treats me like an addict. There are pain management clinics that aim to eliminate the use of opiates in all their patients. There are other pain management clinics that do not. I certainly recommend the latter. I think you should do anything you can to lower your pain levels, including using opiates. If you truly feel that you want to be off all the opiates, then work with your doctor on a tapering program. My husband had his hip replaced, and had less pain so he wanted to taper off of the methadone he had been on. We discussed it with his doctor and he tapered off with no withdrawal symptoms at all. He had stopped taking morphine years ago when he had cancer and he says he had no withdrawal symptoms then that was worse than a case of the flu, and it only lasted a few days. Everyone is different of course. Your doctor should be able to guide you through this. You can go one step lower on the patch, then switch over to an oral opiate for the end of the taper. If you feel that your pain becomes unmanagable at any point, you can always change your mind about stopping the opiates. Good luck."
97,pharmaceutical therapy,"I totally agree with you about the small percentage of people who may develop addiction after using opiates, and that education is necessary for both the general population and our doctors so that people are given this option if they have pain. That said, it is not only folks who have a personal or family history of addiction that become addicts. Some people who have no history of addiction in themselves or their families become addicts. It may be that they were in a very vulnerable place in their life when they were introduced to opiates for their physical pain, and they ended up using them for the wrong reasons. "
97,pharmaceutical adverse effects,"Because I have worked with addicts, and know how very serious addiction can be I believe that this should be one of the possible side effects that patients should be educated about. Not to scare them, but to inform them. Just like surgeons should always warn patients that infection is a risk of any incision through the skin. The surgeon that did my husband<APO>s hip replacement has a less than 4% infection rate, but he still told us about that possible risk. Not to talk us out of having the surgery, but so we would be careful and watchful after the surgery. Same thing with addiction. It is rare, but it does happen, and an ounce of prevention is worth a pound of cure. "
87,communication and learning about pain,"I would go see the doctor your pcp is referring you to. Either pay for it yourself, or put it on your regular health insurance. Get an opinion from someone who has no financial interest in what you may or may not do next. The w/c doctors answer to w/c, they get more referrals from them if they find enough of them ready to go back to work. Do you have a copy of the form you filled out for the doctor who said you ""have no pain""? If that is what you actually said, then he is correct in his thinking you should go back to work. If you were careful in your documentation of your pain on this form, it should back you up. I would also suggest you hire a lawyer in the state where the w/c case has been filed. Many doctors insist that their medical assistants or nurses make ALL patients undress and put on a gown, regardless of what is wrong with them. This makes things move faster (for the doctor) if he decides you need further examination. Although I am a nurse, I have never heard of a nurse getting w/c for DDD of the spine because unless you had a specific injury, it is difficult to prove it is due to work. Some places they have a no lifting policy and use mechanical hoists and lift teams to move patients from bed to chairs, etc. It seems like it is only recently that the public has been aware at all of the difficult physical work involved in being a nurse. "
5188,pharmaceutical therapy,"Lisinopril is an ACE inhibitor used for congestive heart failure and/or high blood pressure. I don<APO>t understand why he is taking it on an as needed basis for pain???? I don<APO>t even know of any off label uses in pain management. Can you point me to any links that would explain this? If you are an addiction therapist, then you are aware of the difference between dependence and addiction. "
5188,pharmaceutical adverse effects,"Addiction is rare in people who take opiates as directed for pain, less than 5% according the most recent studies quoted in my nursing journal. It happens when people start taking the opiates to get high, rather than for the pain they are prescribed for. If the Vax-D gave him relief for a year, I would give it another shot if his doctor feels it advisable. Take care, Annette"
776,primary care provider interactions,"Hi, Cabrel I would make an appt. to see the doctor earlier than is already scheduled if you and your wife feels it is necessary. Please go with her to the doctor at her scheduled appt. or at a sooner one, and take notes. The doctor is the best person to allay your fears and adjust things for your wife. Take care, Annette"
776, privacy," I do not try to get my doctor on the phone, I make an appt. to go see her. I get privacy, and one on one attention, she gets paid for her time. Seems fair to me. I don<APO>t believe in discussing important things with the doctor on the phone for many reasons, the primary one being you won<APO>t get the same quality of medical care on the phone as you will in person. This is something my doctor and I agree on so it works well for us. "
776,communication and learning about pain,"In the ten years I have been seeing her, I have called her on the phone one time (that was at her request), to check on me as I adjusted a new medication. Sometimes it means making more frequent appts. while adjusting meds or trying new treatments, but I feel that is worthwhile. For a doctor to speak to you on the phone, he must be told you have called, then he tells someone to pull your wife<APO>s records, he reads them briefly to refresh his memory (he probably has several hundred patients), then he finds the time between other patients<APO> appts. to call you. He feels rushed and pressured to keep his patient schedule going so he does not hold up the patients in the waiting room. The result is your wife does not get the same quality care as she would sitting across the room from him with the door closed, and her chart on the desk in front of him. Just my opinion. I take a note pad with me to my appts. and write down any changes in medication dosages, treatments, referals, etc. that she suggests. It is far too easy to forget exactly what was said a few days later. I have had only one doctor in my whole life that wrote down exactly what he wanted you to do, and handed you a copy as you left the room, and also put a copy in your chart. I wish ALL doctors would do that, it would eliminate a whole lot of confusion and med errors. There is never any excuse for a member of the doctor<APO>s office staff to be rude to a patient or her family. The office manager cannot obtain the old records without your wife<APO>s written request. I believe she was referring to a written ""release of inormation"" form that the patient must sign herself, and send to the office that is sending her old records to a new doctor. They cannot send her records on your say so, or on the request of the new doctor without this form. If you have a fax machine at home, they can fax you the form. They are not even supposed to discuss her medical business with you unless she has signed a form giving them permission to do so. This is a federal law. I am glad your wife is feeling better. If she cuts back on the caffeine, the twitches may lessen, or they may not. But that is likely to be one of the first things they suggest for her to do. I have migraines and caffeine has never been a trigger for me, but every medical person I ever spoke to about the migraines told me to eliminate caffeine from my diet. I finally did for other reasons, but no change in my migraines, lol. According to my drug handbook twitching happens in less than 1% of people taking gabapentin. My experience with gabapentin and other drugs is that often side effects go away with a few weeks on the drug. I felt really drunk when I first started using gabapentin, and whenever I increased the dose significantly. That feeling went away after 2-3 weeks ont he drug. I now have no side effects at all."
171,pharmaceutical therapy,"Discuss this with your doctor. Most meds have some side effects, particularly when you first start taking them. Most go away after a week or two. No one should be started on fentanyl unless they are already dependent on opiates at a certain daily dose. There is a lower fentanyl dose if you feel like you are drunk on it. Usually slurred speech, blurred vision and a drunken feeling is because the dose is a bit higher than you need. Take care, Annette"
171,communication and learning about pain,You and your partner or another adult should sit down with your kids and explain to them that you are trying some new medicines and if they notice any changes in you to just speak up. Is your doctor used to prescribing these meds? 
4919,primary care provider interactions,"Nearly everyone has disc disease in their back by the time they are adults, the ruptured disc may not be causing your pain at all, depending on the level of the disc. It is impossible to tell from the test you had whether the pain you are having is related to the ruptured disc at all. "
4919,communication and learning about pain,"Read as much as you can about disc disease, chronic pain, etc. See several doctors, then ask them intelligent questions, get answers, and trust your gut feelings. Take care, Annette"
4037,exploring non pharmaceutical techniques for pain,"You do have to deal with chronic pain, but that does not mean you are in for a long, miserable life. It is not common to have that particular group of maladies at so young an age, but keep looking and you will find a good doctor. I have had several over the years, all long term doctors. I moved away and had to find a new one. I developed my chronic pain problems in my latter 40s and I am 61 now. "
4037,communication and learning about pain,"If you have ever worked outside the home, I would check out Social Security and Medicare. If you don<APO>t apply for disability in a certain time frame, you lose eligibility for SSDI. I don<APO>t know how this applies to you, or even if it does, just a suggestion. Take care, Annette"
3503,pharmaceutical therapy,"When I needed around the clock medication, my doctor suggested the Duragesic Patch as one alternative. I explained to her that I used my hot tub every day and it was the only thing that gave me complete relief, and so she told me that the patch was not the best option for me and put me on oral meds instead. I would tell your doctor that the maker of the Butrans told you it may not be the best choice for your life style, so you would prefer to stay on the old medicine or try a different oral med. I do not know medically why he is switching folks to Butrans if they are happy with what they are already on. He may have his own agenda. If so you may be forced to deal with it. Good luck. Take care, Annette"
2285,exploring non pharmaceutical techniques for pain ,Discuss this with your doctor. You may have an allergy to the adhesive that holds the patch in place. 
2285,communication and learning about pain,"Be prepared to show the doctor the rash at the site, bring a patch to the office if there is any chance he will remove the patch to look under it. Also show him the area where you would like to put the patch on your upper arms or legs, see what he says, or ask your pharmacist. Take care, Annette"
3819,policy and pharmaceuticals,"If your doctor can no longer write for them, I would question him carefully, if the DEA has ""forbidden"" him from prescribing them, they might take away his narcotic prescribing privileges altogether. It must be for some reason. Only you can decide what to do, as far as all these things they they tell you. I would ask them for links to ""evidence based medical research"" that shows what they say is true, or even plausible. At least you can read and see where they are coming from. If hormone therapy to make an unpregnant female, you, feel pregnant so you have less pain is fine, why is taking opioids wrong? Or less natural? I just do not understand their reasoning. I really think one should use many tools to feel better, but only you can decide for yourself which ones to use. Keep in touch. Good luck, Annette"
3819,pharmaceutical therapy ,"First, I would not even bother with prolotherapy, so I wouldn<APO>t be in your shoes, that said, I will try and fill in the blanks as best I can. The DEA does not forbid the use of oxycodone 15 mgs, my pharmacy has been unable to get a hold of those for as long as I have been on them (more than a year) and they substitute 5 mg. tablets instead and adjust the instructions. "
2736,pharmaceutical therapy,"I appreciate all the different things you have tried, and hope you continue to use whatever seems to help. The only comment I have is that the way you describe taking your pain meds is not the way that is backed up by medical research. Even back when I was in nursing school, the late 60s, we were taught that one should take their meds before the pain gets ""so bad I can<APO>t stand it anymore"". By that time the meds just will not work as well. It is far better to take the meds when your base level of pain starts to go up. By doing this you will get better control of the pain with less narcotic medication. I read medical research way back then that showed people would end up using less narcotic pain meds and get better relief if they took the meds when the pain first started escalating, rather than waiting until it got really bad. I understand why people do that, I used to do it back when I was still able to work. I would drive home after a shift in the ER in tears because my legs hurt so bad, then take a hot bath and my pain meds. When I finally stopped working, one of my nurse buddies commented that now she hoped now I would take my meds properly and get my pain under decent control. She was right. I might have been able to continue to work had I done that sooner. The pain med patches that contain fentanyl should only be used by folks who are already taking opiates on a daily basis. There are specific doses of narcotic meds that pass that requirement. Speak to your doctor, he can let you know if the fentanyl patches are appropriate for you. I have found that if I can get a small amount of pain relief from each of several treatments, the combined amount of relief is worthwhile. I hope you find the right combination of treatments for you. Take care, Annette"
854,pharmaceutical therapy,"My internist writes my pain management prescriptions. I don<APO>t see a pain management doctor. She is my pcp. You might try asking your pcp for help, or try a different pcp. You should not have to suffer without any medical care at all. I have no idea why the doctor changed your meds, or why your urine test came out wrong. I do know that the urine screening tests have to be accurately analyzed. Some drugs break down into metabolites and will show positive for other drugs. "
854,primary care provider interactions,"If a doctor does not know how to use these tests properly, the patient suffers for it. My doctor sends out her patients<APO> urine to an outside lab it takes awhile to come back. Did your doctor do the test in the office while you were still there? I have never heard of a med that has morphine and naltrexone in it. Suboxone has buprenorphine and naloxone in it. The buprenorphine is a narcotic. Perhaps that is what she was talking about. I don<APO>t know. Take care, Annette"
3883,detox,"Rapid opioid detox was about $10,000 the last time I checked. According to a TV news program, the care is not always top notch, be very careful when you opt for this. She will still need a pain management specialist when she gets done with detox. Take care, Annette"
4778,pharmaceutical therapy,I would not see a doctor who only cared about the $$ and getting me in and out. Why did you let him do injections in your back if you did not have pain there?
4778,primary care provider interactions,"If he did the MRI only for a road map, or visual aid, to see where he was going to put the injections, that is one thing, if he was deciding treatment that is another thing entirely. Of course, he should discuss that with you, along with the MRI results. A radiologist reads the films first, they are very conservative. I would trust my doctor to take a look at them and discuss them with me. Did you ask him about the initial MRI when it was first done? Maybe he thinks you are not a person who prefers to discuss things at all, but rather prefers the doctor to make the appropriate choice for you."
4778,privacy,"Talk to the doctor about all of this, then if you wish to get your records, do so by simply asking for them in writing, it is best to include your birthday as verification of your identity. The government says you have the right to them, and the doctor<APO>s office may only collect a copying fee for making a copy for you. All of that is in the HIPPA rules that you are given when you start seeing any doctor. Talk to him first. Take care, Annette"
3627,communication and learning about pain,"You are not your grandma, and you will have different kinds of problems than she did as far as your health goes. She was very old when she developed her neuropathy. Go back to the doctor, do a lot of research, and stay active. Bed rest is not advised for back pain anymore. Once you find out more information you can discuss treatment options with your doctor or a neurologist. Take care, Annette"
3627,pharmaceutical therapy,"Neuropathy simply means a nerve or more than one nerve is not working properly. It is more of a symptom than a diagnosis. Many different things can cause neuropathy, from injury, to diabetes, to a stroke. Neuropathy may only affect sensory nerves causing pain, burning, tingling, etc., or it could cause motor problems making it difficult to move, or it could cause both. It can be permanent or temporary. I have had both, the motor nerve problem was fixed with surgery, but I still have pain from neuropathy of sensory nerves. It is great that you are having such a good result from neurontin after only 4 days, it could improve much more. I have used neurontin for nearly ten years now and once I found the dose that was best for me, I left it alone. I have no side effects at all. It took several months to find that dose. I went up to 1800 mg. a day, and then back down to 800 mg. a day. I take ALL of mine at night rather than splitting up the dose during the day."
615,privacy,"You can write a letter to your old doctor, and request a copy of the Xrays, or whatever he did imagingwise along with your medical records. The request will be forwarded to him or to wherever he stored your records. Doctors are required to store medical records for a certain length of time even if they give up their practice. Your parents should have insurance records that would include the name of the orthopedic doctor. It is likely your doctor spoke to him after he saw you and they decided you would benefit from seeing the ortho. You can also write him requesting all your old records from him. Take all the old records to the new ortho of your choice. You mention ""all my other pills"", what all are you on? There are many kinds of pill interactions, perhaps that has something to do with the reluctance of doctors to prescribe more opiates."
615,primary care provider interactions," An ortho should be able to do tests now that show how well your leg healed, often hamstring tears do heal after a long time, even if you don<APO>t stay off of it like the doctor told you to do. I am sorry, but I pretty much agree with swank. If you refused to do what the doctor told you to do so you could get well, you can<APO>t really expect other doctors to just write you opiate RXs for the rest of your life. See an ortho, have whatever diagnostic imaging he feels is necessary, stick with whatever treatment he recommends for as long as he recommends, and see what happens. If after doing everything he recommends you still end up with chronic pain, then you can ask him for a referral to a pain management doc for oral meds to help control the pain. There are other meds besides opiates that are good for pain, try them all. Good luck, Annette"
3108,primary care provider interactions,"I am sorry, but some surgeons are not in it for the patient<APO>s best interest. My husband needed a hip replacement, we already knew that when we saw the xray that showed the femoral head totally collapsed from AVN. I am an RN. The problem was that he also had a chronic Staph infection in a wound on his opposite leg, the wound was open and dressed with gauze of course. The surgeon said he would schedule surgery for two weeks from then, no comment when I asked him about the Staph infection, he never looked at it, never laid a hand on my husband except to shake his hand. Did no examination of any kind. When he sent his report to the primary doc, he claimed to have done all kinds of measurements, etc. We were charged for a complete first time exam, several hundred dollars. If the insurance company had not paid for it, we would have complained. My husband just wanted out of there. We never went back. "
3108,surgical,"We went to another orthopedic surgeon who agreed to do the surgery only when the wound was completely healed for three months, a second surgeon said the same thing. He had successful hip replacement surgery three years ago, several months after the wound finally healed. He had to have vascular surgery before it finally healed. Thank God, no infections of any kind since. The orthopedic surgeon that my husband first saw was just in it for the money. However, with decent screening there are lots of fine doctors out there to choose from. I have had the same doctor for over 15 years now, you just must screen them carefully. But, use your own head too. Take care, Annette"
3279,primary care provider interactions,"It is too bad that Charles made some wrong assumptions about your surgery. I am sorry that he did. He swears by his type of fusion, I like mine even more, no hip incision/needle removal of cells was involved. The doctor just took out the bad disc and let the ones above and below fuse together on their own. Five or six months later he did an xray that showed the two vertebrae had fused together."
3279,surgical,"One small incision, no cervical collar at all! We all have our own favorite meds/treatments/surgeries that worked for us, that may or may not work for others depending on their circumstances. Hopefully, our doctors have all the information they need to make a treatment plan, we can sign on or not, as we prefer. I hope everyone gets at least one second opinion before non-emergent surgery. I hope you continue to do well, and are as pain free as is possible for you. Take care, Annette"
4993,exploring non pharmaceutical techniques for pain,"You might ask her doctor if Lidoderm patches might work for her. I use them for FMS pain on my hips and legs and they really do help me. Someone else who used to post here used them and got very good relief, when I read her posts, I asked my doctor about them. Perhaps they would work for her without interfering with her breathing. A TENS unit may also help. "
4993,pharmaceutical therapy,"It is a very difficult balance when you use opiates along with COPD. Starting with a very low dose and working up to a dose that works for her without affecting her breathing could be tricky. Has she seen a pain management doctor? That might be better than her PCP. Make certain that he also knows about the COPD, and have any meds she is to take run by her lung specialist first. Good luck to you both. Take care, Annette"
